Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
63.75,-68.55,10795,210.0,-66.5,43,236,81
63.75,-68.55,12701,153.0,-69.1,10,232,47
63.75,-68.55,15240,100.0,-71.3,6,240,51
58.73,-94.08,305,975.3,-27.1,84,335,22
58.73,-94.08,675,927.0,-19.3,31,12,30
58.73,-94.08,1219,861.4,-21.0,91,20,33
58.73,-94.08,2020,773.0,-18.1,14,28,38
58.73,-94.08,3033,674.0,-24.3,32,22,46
58.73,-94.08,4389,557.0,-35.7,69,18,47
58.73,-94.08,7620,342.2,-55.6,15,0,42
58.73,-94.08,10307,223.0,-58.3,4,350,36
58.73,-94.08,12780,150.0,-62.3,1,335,47
58.73,-94.08,17678,67.0,-68.7,1,325,38
74.7,-94.97,88,1008.0,-35.7,65,327,8
74.7,-94.97,457,957.0,-26.7,74,7,13
74.7,-94.97,1297,853.0,-24.7,78,350,17
74.7,-94.97,2517,721.0,-26.9,96,356,53
74.7,-94.97,3658,614.7,-31.6,37,5,58
74.7,-94.97,5486,471.4,-44.5,72,0,65
74.7,-94.97,7620,339.4,-56.1,36,355,51
74.7,-94.97,10058,229.3,-64.0,22,0,37
74.7,-94.97,11825,172.0,-67.1,7,336,24
74.7,-94.97,13106,139.2,-67.7,7,335,14
74.7,-94.97,14935,102.3,-71.7,8,350,18
74.7,-94.97,16764,74.8,-76.1,10,5,22
69.13,-105.06,165,1005.0,-27.3,84,344,20
69.13,-105.06,621,944.0,-20.7,53,5,30
69.13,-105.06,1219,871.4,-17.9,53,355,30
69.13,-105.06,2028,782.0,-19.5,49,3,29
69.13,-105.06,2743,709.7,-24.3,64,5,31
69.13,-105.06,3901,604.0,-30.5,41,12,38
69.13,-105.06,5043,513.0,-37.1,28,18,43
69.13,-105.06,8560,300.0,-61.3,22,0,48
69.13,-105.06,10668,212.1,-67.6,20,345,30
69.13,-105.06,12192,165.0,-65.6,7,325,39
69.13,-105.06,15240,99.3,-70.2,5,335,44
64.31,-96.0,182,1000.0,-32.9,69,350,21
64.31,-96.0,694,931.0,-20.9,87,343,13
64.31,-96.0,1170,873.0,-20.9,59,340,17
64.31,-96.0,2203,759.0,-22.3,27,332,14
64.31,-96.0,2794,700.0,-26.3,52,335,14
64.31,-96.0,3956,595.0,-33.1,40,308,11
64.31,-96.0,5311,489.0,-41.9,29,301,13
64.31,-96.0,7321,360.0,-55.1,47,342,15
64.31,-96.0,9144,268.9,-63.1,25,325,19
64.31,-96.0,10973,199.9,-63.9,8,5,23
64.31,-96.0,13716,127.3,-68.0,5,335,31
64.31,-96.0,17374,68.8,-72.5,5,320,55
64.31,-96.0,20726,38.5,-77.0,7,325,50
60.03,-111.93,339,981.0,-21.5,77,116,18
60.03,-111.93,1219,871.6,-19.0,80,145,16
60.03,-111.93,2438,739.7,-20.0,74,45,6
60.03,-111.93,3962,601.3,-24.3,95,330,28
60.03,-111.93,5182,507.6,-29.6,88,325,57
60.03,-111.93,6840,400.0,-42.7,63,320,65
60.03,-111.93,9248,276.0,-54.7,28,320,70
60.03,-111.93,13090,150.0,-61.3,9,315,74
60.03,-111.93,17518,72.3,-69.7,11,315,84
60.03,-111.93,20726,41.8,-73.8,13,315,79
58.83,-122.6,788,925.0,-19.9,88,345,4
58.83,-122.6,1210,875.0,-4.9,97,333,32
58.83,-122.6,2598,732.0,-9.5,90,311,37
58.83,-122.6,4267,587.7,-16.8,15,315,44
58.83,-122.6,7040,400.0,-36.1,16,300,59
58.83,-122.6,9754,265.7,-56.8,41,295,77
58.83,-122.6,11520,200.0,-62.1,14,295,67
58.83,-122.6,13716,140.7,-61.7,2,305,57
58.83,-122.6,16227,93.4,-65.7,2,309,66
58.83,-122.6,18593,63.1,-67.4,3,305,79
58.83,-122.6,22250,34.2,-70.9,2,325,106
58.83,-122.6,26848,16.0,-60.3,1,339,172
58.83,-122.6,29566,10.4,-52.3,1,340,188
58.83,-122.6,32180,7.0,-44.7,1,345,255
68.31,-133.53,738,925.0,-23.5,76,160,34
68.31,-133.53,1829,801.0,-12.4,89,165,19
68.31,-133.53,4267,579.7,-22.1,87,280,19
68.31,-133.53,6096,448.9,-35.9,76,275,28
68.31,-133.53,9455,269.0,-61.7,65,285,51
68.31,-133.53,10674,221.0,-60.9,14,285,47
68.31,-133.53,13929,130.0,-64.5,4,289,55
68.31,-133.53,15850,94.9,-65.6,3,300,62
68.31,-133.53,21776,35.6,-63.5,1,315,97
68.31,-133.53,27432,14.4,-52.4,1,330,192
68.31,-133.53,30674,8.8,-39.6,1,330,263
60.73,-135.06,738,925.0,-4.9,84,185,12
60.73,-135.06,1701,819.0,-3.3,63,189,16
60.73,-135.06,2743,717.2,-6.3,37,215,15
60.73,-135.06,4232,591.0,-14.5,5,208,22
60.73,-135.06,6027,463.0,-29.7,41,219,16
60.73,-135.06,6706,420.8,-34.5,61,235,25
60.73,-135.06,8970,300.0,-54.9,54,245,41
60.73,-135.06,10363,240.0,-62.0,36,255,38
60.73,-135.06,13300,150.0,-59.3,2,260,45
60.73,-135.06,16421,91.0,-63.9,2,275,53
60.73,-135.06,18288,67.2,-61.5,2,295,69
60.73,-135.06,23290,30.0,-53.9,1,325,131
60.73,-135.06,26107,19.5,-46.5,1,330,146
60.73,-135.06,31827,8.2,-44.9,1,338,175
24.55,-81.79,13,1016.0,21.6,83,355,13
24.55,-81.79,1219,883.0,15.5,94,60,1
24.55,-81.79,2201,786.0,11.0,79,206,16
24.55,-81.79,3159,700.0,5.8,85,200,20
24.55,-81.79,4267,610.7,0.7,86,240,24
24.55,-81.79,5182,544.8,-1.8,62,235,32
24.55,-81.79,5860,500.0,-5.3,12,235,26
24.55,-81.79,6831,441.0,-12.7,33,237,33
24.55,-81.79,9837,292.0,-36.9,17,241,43
24.55,-81.79,12192,204.7,-55.7,42,245,54
24.55,-81.79,14601,138.0,-71.5,51,255,75
24.55,-81.79,15929,110.0,-73.7,20,254,55
24.55,-81.79,18366,72.2,-70.3,11,245,29
24.55,-81.79,20540,50.0,-69.9,5,240,15
24.55,-81.79,21774,40.8,-62.7,2,212,14
25.75,-80.38,496,961.0,22.2,69,297,15
25.75,-80.38,1618,843.0,12.0,89,285,7
25.75,-80.38,2802,731.0,6.6,73,206,21
25.75,-80.38,3667,658.0,3.6,72,221,29
25.75,-80.38,4450,597.0,-1.3,50,236,27
25.75,-80.38,4706,578.0,-2.9,30,234,26
25.75,-80.38,5182,544.3,-2.7,23,240,25
25.75,-80.38,6314,471.0,-9.9,26,220,40
25.75,-80.38,7315,413.2,-14.7,14,245,49
25.75,-80.38,9640,300.0,-34.5,18,250,49
25.75,-80.38,12597,192.0,-58.7,56,250,58
25.75,-80.38,14813,133.0,-71.5,35,254,58
25.75,-80.38,17239,87.6,-77.1,13,254,52
25.75,-80.38,18898,66.0,-72.9,9,240,34
25.75,-80.38,20540,50.0,-70.5,4,235,15
25.75,-80.38,22250,37.8,-59.0,1,215,9
25.75,-80.38,24384,27.0,-56.4,1,230,10
25.75,-80.38,27432,16.7,-54.5,1,140,19
25.75,-80.38,30273,10.8,-48.1,1,163,26
25.75,-80.38,32599,7.6,-45.3,1,165,46
30.5,-81.7,297,986.0,3.2,48,295,22
30.5,-81.7,1223,878.0,-3.3,20,310,44
30.5,-81.7,2294,769.0,8.8,3,257,64
30.5,-81.7,3658,650.2,1.1,5,240,69
30.5,-81.7,5464,517.0,-11.9,92,242,83
30.5,-81.7,6434,455.0,-16.1,85,230,92
30.5,-81.7,9144,313.9,-34.4,85,240,100
30.5,-81.7,11682,215.0,-54.3,37,248,122
